iter	Passed	Remaining
402	10960	16237
403	10989	16212
404	11016	16185
405	11040	16153
406	11066	16123
407	11098	16103
408	11125	16075
409	11148	16042
410	11170	16008
411	11202	15988
412	11226	15956
413	11250	15924
414	11279	15899
415	11303	15868
416	11332	15843
417	11356	15811
418	11390	15794
419	11415	15764
420	11442	15737
421	11469	15708
422	11495	15680
423	11522	15652
424	11545	15620
425	11572	15593
426	11596	15562
427	11621	15531
428	11648	15504
429	11675	15476
430	11704	15452
431	11742	15438
432	11780	15425
433	11806	15397
434	11835	15372
435	11863	15345
436	11887	15315
437	11914	15287
438	11939	15258
439	11963	15226
440	11988	15195
441	12015	15169
442	12039	15137
443	12064	15107
444	12089	15078
445	12119	15054
446	12147	15027
447	12172	14998
448	12198	14970
449	12223	14940
450	12247	14909
451	12270	14877
452	12294	14845
453	12324	14822
454	12348	14790
455	12378	14767
456	12408	14743
457	12430	14710
458	12457	14683
459	12487	14658
460	12515	14632
461	12541	14604
462	12572	14581
463	12598	14553
464	12624	14524
465	12653	14500
466	12676	14468
467	12701	14438
468	12726	14408
469	12750	14378
470	12779	14352
471	12806	14326
472	12831	14296
473	12855	14265
474	12885	14241
475	12907	14208
476	12930	14177
477	12959	14152
478	12984	14123
479	13007	14090
480	13034	14063
481	13059	14034
482	13082	14003
483	13109	13976
484	13135	13948
485	13159	13917
486	13192	13896
487	13220	13870
488	13251	13847
489	13278	13819
490	13304	13791
491	13332	13766
492	13360	13739
493	13393	13718
494	13416	13687
495	13446	13663
496	13470	13633
497	13496	13605
498	13526	13580
499	13550	13550
500	13572	13518
501	13602	13494
502	13628	13466
503	13655	13438
504	13684	13413
505	13711	13386
506	13743	13363
507	13769	13336
508	13796	13308
509	13821	13279
510	13852	13256
511	13888	13237
512	13921	13215
513	13953	13193
514	13982	13167
515	14008	13139
516	14034	13111
517	14063	13086
518	14096	13064
519	14125	13038
520	14149	13009
521	14177	12982
522	14203	12954
523	14229	12925
524	14258	12900
525	14284	12872
526	14314	12847
527	14338	12817
528	14367	12792
529	14397	12767
530	14421	12737
531	14449	12710
532	14475	12683
533	14500	12653
534	14530	12629
535	14555	12600
536	14581	12572
537	14610	12546
538	14635	12517
539	14665	12492
540	14691	12464
541	14718	12437
542	14748	12412
543	14775	12385
544	14806	12360
545	14837	12337
546	14862	12308
547	14893	12284
548	14920	12257
549	14943	12226
550	14966	12196
551	14998	12172
552	15020	12141
553	15051	12117
554	15079	12090
555	15107	12064
556	15134	12036
557	15164	12011
558	15190	11984
559	15215	11955
560	15242	11927
561	15268	11899
562	15296	11873
563	15322	11845
564	15348	11816
565	15378	11792
566	15405	11764
567	15429	11735
568	15461	11711
569	15487	11683
570	15514	11656
571	15546	11632
572	15576	11607
573	15607	11583
574	15630	11552
575	15656	11524
576	15685	11499
577	15710	11470
578	15734	11440
579	15766	11416
580	15789	11386
581	15820	11362
582	15848	11335
583	15872	11306
584	15904	11282
585	15928	11253
586	15956	11226
587	15977	11195
588	16008	11170
589	16047	11151
590	16087	11133
591	16118	11108
592	16141	11078
593	16165	11049
594	16196	11024
595	16227	10999
596	16250	10969
597	16278	10942
598	16302	10913
599	16328	10885
600	16359	10861
601	16385	10832
602	16410	10803
603	16442	10780
604	16470	10753
605	16500	10728
606	16525	10699
607	16558	10675
608	16587	10649
609	16616	10623
610	16641	10595
611	16668	10567
612	16693	10539
613	16716	10509
614	16746	10483
615	16774	10456
616	16802	10430
617	16830	10403
618	16858	10376
619	16882	10347
620	16908	10319
621	16934	10291
622	16958	10262
623	16979	10231
624	17012	10207
625	17036	10178
626	17066	10152
627	17090	10123
628	17115	10095
629	17140	10066
630	17170	10041
631	17200	10015
632	17222	9985
633	17245	9955
634	17274	9929
635	17300	9901
636	17325	9872
637	17357	9848
638	17381	9819
639	17407	9791
640	17437	9766
641	17462	9737
642	17491	9711
643	17515	9682
644	17538	9653
645	17570	9628
646	17598	9601
647	17626	9575
648	17655	9548
649	17681	9520
650	17707	9493
651	17732	9464
652	17754	9434
653	17784	9408
654	17809	9380
655	17836	9353
656	17865	9327
657	17895	9301
658	17919	9272
659	17942	9242
660	17967	9214
661	17997	9189
662	18020	9159
663	18043	9130
664	18068	9102
665	18099	9076
666	18122	9047
667	18153	9022
668	18184	8997
669	18225	8976
670	18256	8951
671	18286	8925
672	18313	8898
673	18345	8873
674	18368	8844
675	18398	8818
676	18422	8789
677	18452	8763
678	18476	8734
679	18502	8706
680	18524	8677
681	18547	8648
682	18578	8622
683	18606	8595
684	18632	8568
685	18658	8540
686	18692	8516
687	18719	8488
688	18745	8461
689	18770	8432
690	18792	8403
691	18817	8375
692	18842	8347
693	18868	8319
694	18891	8290
695	18920	8264
696	18947	8237
697	18973	8209
698	18998	8181
699	19024	8153
700	19047	8124
701	19074	8097
702	19096	8067
703	19119	8038
704	19140	8008
705	19164	7980
706	19189	7952
707	19211	7923
708	19240	7897
709	19263	7868
710	19290	7840
711	19319	7814
712	19348	7788
713	19374	7760
714	19402	7734
715	19426	7705
716	19448	7676
717	19470	7647
718	19497	7620
719	19520	7591
720	19541	7561
721	19571	7535
722	19601	7509
723	19624	7481
724	19659	7456
725	19681	7427
726	19708	7400
727	19732	7372
728	19763	7346
729	19793	7320
730	19817	7292
731	19847	7266
732	19870	7237
733	19899	7211
734	19923	7183
735	19947	7154
736	19974	7128
737	20001	7100
738	20035	7076
739	20062	7049
740	20085	7020
741	20117	6994
742	20144	6967
743	20167	6939
744	20196	6912
745	20222	6885
746	20245	6857
747	20272	6829
748	20303	6804
749	20335	6778
750	20370	6754
751	20408	6730
752	20433	6702
753	20464	6676
754	20489	6648
755	20515	6621
756	20546	6595
757	20572	6567
758	20595	6539
759	20623	6512
760	20646	6484
761	20669	6455
762	20700	6429
763	20722	6401
764	20748	6373
765	20776	6346
766	20809	6321
767	20838	6294
768	20868	6268
769	20899	6242
770	20924	6214
771	20950	6187
772	20976	6160
773	20999	6131
774	21022	6103
775	21054	6077
776	21078	6049
777	21105	6022
778	21130	5994
779	21161	5968
780	21191	5942
781	21219	5915
782	21241	5886
783	21270	5860
784	21294	5832
785	21320	5804
786	21348	5777
787	21371	5749
788	21399	5722
789	21427	5695
790	21453	5668
791	21484	5642
792	21507	5614
793	21537	5587
794	21561	5559
795	21591	5533
796	21620	5506
797	21643	5478
798	21665	5450
799	21697	5424
800	21723	5396
801	21754	5370
802	21783	5344
803	21806	5316
804	21835	5289
805	21871	5264
806	21895	5236
807	21927	5210
808	21954	5183
809	21977	5155
810	22005	5128
811	22031	5100
812	22062	5074
813	22086	5046
814	22109	5018
815	22137	4991
816	22159	4963
817	22182	4935
818	22214	4909
819	22240	4882
820	22264	4854
821	22290	4826
822	22319	4800
823	22347	4773
824	22373	4745
825	22401	4718
826	22427	4691
827	22454	4664
828	22483	4637
829	22506	4609
830	22533	4582
831	22567	4556
832	22600	4530
833	22632	4504
834	22656	4477
835	22681	4449
836	22714	4423
837	22738	4395
838	22765	4368
839	22793	4341
840	22818	4314
841	22849	4287
842	22873	4260
843	22901	4233
844	22927	4205
845	22957	4178
846	22979	4150
847	23008	4124
848	23031	4096
849	23061	4069
850	23084	4041
851	23108	4014
852	23133	3986
853	23157	3959
854	23181	3931
855	23206	3903
856	23243	3878
857	23269	3851
858	23295	3823
859	23327	3797
860	23350	3769
861	23374	3742
862	23403	3715
863	23429	3687
864	23453	3660
865	23484	3633
866	23512	3606
867	23536	3579
868	23564	3552
869	23590	3525
870	23623	3498
871	23656	3472
872	23682	3445
873	23709	3418
874	23737	3391
875	23762	3363
876	23791	3336
877	23817	3309
878	23852	3283
879	23874	3255
880	23905	3228
881	23933	3201
882	23960	3174
883	23987	3147
884	24019	3121
885	24042	3093
886	24069	3066
887	24095	3039
888	24117	3011
889	24144	2984
890	24171	2956
891	24195	2929
892	24220	2902
893	24246	2874
894	24271	2847
895	24303	2820
896	24331	2793
897	24355	2766
898	24382	2739
899	24410	2712
900	24442	2685
901	24468	2658
902	24494	2631
903	24520	2603
904	24554	2577
905	24576	2549
906	24612	2523
907	24635	2496
908	24667	2469
909	24696	2442
910	24734	2416
911	24768	2389
912	24804	2363
913	24831	2336
914	24856	2309
915	24881	2281
916	24910	2254
917	24934	2227
918	24961	2200
919	24988	2172
920	25015	2145
921	25042	2118
922	25071	2091
923	25098	2064
924	25122	2036
925	25152	2010
926	25176	1982
927	25202	1955
928	25228	1928
929	25253	1900
930	25276	1873
931	25308	1846
932	25330	1819
933	25352	1791
934	25382	1764
935	25406	1737
936	25429	1709
937	25456	1682
938	25481	1655
939	25505	1628
940	25534	1600
941	25561	1573
942	25586	1546
943	25613	1519
944	25637	1492
945	25665	1465
946	25693	1437
947	25725	1411
948	25751	1383
949	25776	1356
950	25808	1329
951	25837	1302
952	25866	1275
953	25896	1248
954	25922	1221
955	25951	1194
956	25981	1167
957	26006	1140
958	26035	1113
959	26066	1086
960	26090	1058
961	26119	1031
962	26146	1004
963	26173	977
964	26197	950
965	26225	923
966	26251	895
967	26280	868
968	26311	841
969	26338	814
970	26362	787
971	26391	760
972	26419	733
973	26445	705
974	26472	678
975	26502	651
976	26526	624
977	26551	597
978	26583	570
979	26606	542
980	26637	515
981	26663	488
982	26689	461
983	26715	434
984	26744	407
985	26771	380
986	26794	352
987	26823	325
988	26854	298
989	26893	271
990	26933	244
991	26963	217
992	26988	190
993	27016	163
994	27042	135
995	27067	108
996	27100	81
997	27127	54
998	27149	27
999	27179	0
